time,temperature_2m,relative_humidity_2m,precipitation_probability,precipitation,cloud_cover,location
2024-11-02 06:00:00,9.1,97,0,0.0,61.0,Rome
2024-11-02 07:00:00,8.5,99,0,0.0,72.0,Rome
2024-11-02 08:00:00,9.2,95,0,0.0,34.0,Rome
2024-11-02 09:00:00,11.4,85,0,0.0,2.0,Rome
2024-11-02 10:00:00,14.2,74,0,0.0,1.0,Rome
2024-11-02 11:00:00,16.8,66,0,0.0,0.0,Rome
2024-11-02 12:00:00,18.9,54,0,0.0,0.0,Rome
2024-11-02 13:00:00,20.6,49,0,0.0,0.0,Rome
2024-11-02 14:00:00,21.3,54,0,0.0,0.0,Rome
2024-11-02 15:00:00,21.6,57,0,0.0,17.0,Rome
2024-11-02 16:00:00,21.3,63,0,0.0,16.0,Rome
2024-11-02 17:00:00,19.9,68,0,0.0,35.0,Rome
2024-11-02 18:00:00,18.6,72,0,0.0,0.0,Rome
2024-11-02 19:00:00,17.2,79,0,0.0,0.0,Rome
2024-11-02 20:00:00,15.7,84,0,0.0,6.0,Rome
2024-11-02 21:00:00,13.8,91,0,0.0,5.0,Rome
2024-11-02 22:00:00,12.6,92,0,0.0,23.0,Rome
2024-11-02 23:00:00,11.8,92,0,0.0,19.0,Rome
2024-11-03 06:00:00,9.2,92,0,0.0,34.0,Rome
2024-11-03 07:00:00,9.0,91,0,0.0,3.0,Rome
2024-11-03 08:00:00,9.7,86,0,0.0,7.0,Rome
2024-11-03 09:00:00,12.5,73,0,0.0,4.0,Rome
2024-11-03 10:00:00,15.3,61,0,0.0,0.0,Rome
2024-11-03 11:00:00,17.8,52,0,0.0,2.0,Rome
2024-11-03 12:00:00,20.0,44,0,0.0,5.0,Rome
2024-11-03 13:00:00,21.1,43,0,0.0,13.0,Rome
2024-11-03 14:00:00,21.6,44,0,0.0,0.0,Rome
2024-11-03 15:00:00,21.7,46,0,0.0,0.0,Rome
2024-11-03 16:00:00,21.3,49,0,0.0,0.0,Rome
2024-11-03 17:00:00,19.8,56,0,0.0,0.0,Rome
2024-11-03 18:00:00,18.0,65,0,0.0,0.0,Rome
2024-11-03 19:00:00,16.3,79,0,0.0,0.0,Rome
2024-11-03 20:00:00,14.9,85,0,0.0,0.0,Rome
2024-11-03 21:00:00,13.6,90,0,0.0,2.0,Rome
2024-11-03 22:00:00,12.6,93,0,0.0,0.0,Rome
2024-11-03 23:00:00,11.6,95,0,0.0,27.0,Rome
2024-11-04 06:00:00,8.6,87,0,0.0,1.0,Rome
2024-11-04 07:00:00,8.4,88,0,0.0,1.0,Rome
2024-11-04 08:00:00,9.0,87,0,0.0,0.0,Rome
2024-11-04 09:00:00,11.8,77,0,0.0,0.0,Rome
2024-11-04 10:00:00,14.7,69,0,0.0,0.0,Rome
2024-11-04 11:00:00,17.1,62,0,0.0,0.0,Rome
2024-11-04 12:00:00,19.2,56,0,0.0,0.0,Rome
2024-11-04 13:00:00,20.3,58,0,0.0,28.0,Rome
2024-11-04 14:00:00,20.7,60,0,0.0,11.0,Rome
2024-11-04 15:00:00,20.7,60,0,0.0,35.0,Rome
2024-11-04 16:00:00,20.3,62,0,0.0,35.0,Rome
2024-11-04 17:00:00,19.0,70,0,0.0,29.0,Rome
2024-11-04 18:00:00,17.5,76,0,0.0,2.0,Rome
2024-11-04 19:00:00,16.4,81,0,0.0,0.0,Rome
2024-11-04 20:00:00,15.4,87,0,0.0,0.0,Rome
2024-11-04 21:00:00,13.7,94,0,0.0,1.0,Rome
2024-11-04 22:00:00,12.3,98,0,0.0,46.0,Rome
2024-11-04 23:00:00,11.4,99,0,0.0,55.0,Rome
2024-11-05 06:00:00,8.4,96,0,0.0,33.0,Rome
2024-11-05 07:00:00,8.1,96,0,0.0,37.0,Rome
2024-11-05 08:00:00,8.6,92,0,0.0,1.0,Rome
2024-11-05 09:00:00,11.4,81,0,0.0,0.0,Rome
2024-11-05 10:00:00,14.1,72,0,0.0,0.0,Rome
2024-11-05 11:00:00,16.6,66,0,0.0,0.0,Rome
2024-11-05 12:00:00,18.6,60,0,0.0,0.0,Rome
2024-11-05 13:00:00,19.9,56,0,0.0,11.0,Rome
2024-11-05 14:00:00,20.4,55,0,0.0,25.0,Rome
2024-11-05 15:00:00,20.4,56,0,0.0,22.0,Rome
2024-11-05 16:00:00,19.9,59,0,0.0,62.0,Rome
2024-11-05 17:00:00,18.7,64,0,0.0,100.0,Rome
2024-11-05 18:00:00,17.4,70,0,0.0,100.0,Rome
2024-11-05 19:00:00,16.4,74,0,0.0,100.0,Rome
2024-11-05 20:00:00,15.2,80,0,0.0,100.0,Rome
2024-11-05 21:00:00,14.1,87,0,0.0,100.0,Rome
2024-11-05 22:00:00,13.1,92,0,0.0,100.0,Rome
2024-11-05 23:00:00,12.4,95,0,0.0,100.0,Rome
2024-11-06 06:00:00,9.1,98,0,0.0,40.0,Rome
2024-11-06 07:00:00,9.2,97,0,0.0,43.0,Rome
2024-11-06 08:00:00,10.6,91,0,0.0,29.0,Rome
2024-11-06 09:00:00,12.8,81,0,0.0,14.0,Rome
2024-11-06 10:00:00,14.9,73,0,0.0,0.0,Rome
2024-11-06 11:00:00,16.9,67,0,0.0,0.0,Rome
2024-11-06 12:00:00,18.9,63,0,0.0,0.0,Rome
2024-11-06 13:00:00,20.2,60,0,0.0,0.0,Rome
2024-11-06 14:00:00,20.8,58,0,0.0,0.0,Rome
2024-11-06 15:00:00,20.7,57,0,0.0,0.0,Rome
2024-11-06 16:00:00,20.3,58,0,0.0,0.0,Rome
2024-11-06 17:00:00,19.3,63,0,0.0,0.0,Rome
2024-11-06 18:00:00,17.9,70,0,0.0,0.0,Rome
2024-11-06 19:00:00,16.5,77,0,0.0,0.0,Rome
2024-11-06 20:00:00,15.1,84,0,0.0,11.0,Rome
2024-11-06 21:00:00,13.6,90,0,0.0,21.0,Rome
2024-11-06 22:00:00,12.3,95,0,0.0,32.0,Rome
2024-11-06 23:00:00,11.4,97,0,0.0,42.0,Rome
2024-11-07 06:00:00,8.7,96,0,0.0,40.0,Rome
2024-11-07 07:00:00,9.0,94,0,0.0,38.0,Rome
2024-11-07 08:00:00,10.5,87,0,0.0,55.0,Rome
2024-11-07 09:00:00,12.8,78,0,0.0,72.0,Rome
2024-11-07 10:00:00,15.0,69,0,0.0,89.0,Rome
2024-11-07 11:00:00,17.0,62,0,0.0,92.0,Rome
2024-11-07 12:00:00,18.9,56,0,0.0,94.0,Rome
2024-11-07 13:00:00,20.2,52,0,0.0,97.0,Rome
2024-11-07 14:00:00,20.7,54,0,0.0,100.0,Rome
2024-11-07 15:00:00,20.8,54,0,0.0,100.0,Rome
2024-11-07 16:00:00,20.2,57,0,0.0,100.0,Rome
2024-11-07 17:00:00,18.6,66,0,0.0,97.0,Rome
2024-11-07 18:00:00,16.3,79,0,0.0,94.0,Rome
2024-11-07 19:00:00,14.3,89,0,0.0,91.0,Rome
2024-11-07 20:00:00,12.9,94,0,0.0,78.0,Rome
2024-11-07 21:00:00,11.8,96,0,0.0,64.0,Rome
2024-11-07 22:00:00,10.8,97,0,0.0,51.0,Rome
2024-11-07 23:00:00,10.1,96,0,0.0,54.0,Rome
2024-11-08 06:00:00,6.9,98,1,0.0,87.0,Rome
2024-11-08 07:00:00,7.3,96,2,0.0,80.0,Rome
2024-11-08 08:00:00,9.2,90,2,0.0,54.0,Rome
2024-11-08 09:00:00,12.1,81,2,0.0,29.0,Rome
2024-11-08 10:00:00,14.7,72,3,0.0,3.0,Rome
2024-11-08 11:00:00,16.8,64,3,0.0,8.0,Rome
2024-11-08 12:00:00,18.7,57,3,0.0,12.0,Rome
2024-11-08 13:00:00,20.0,52,3,0.0,17.0,Rome
2024-11-08 14:00:00,20.6,50,3,0.0,19.0,Rome
2024-11-08 15:00:00,20.5,50,3,0.0,20.0,Rome
2024-11-08 16:00:00,19.8,54,2,0.0,22.0,Rome
2024-11-08 17:00:00,18.1,64,2,0.0,16.0,Rome
2024-11-08 18:00:00,15.7,78,2,0.0,11.0,Rome
2024-11-08 19:00:00,13.6,89,1,0.0,5.0,Rome
2024-11-08 20:00:00,12.3,94,1,0.0,26.0,Rome
2024-11-08 21:00:00,11.2,97,1,0.0,48.0,Rome
2024-11-08 22:00:00,10.3,98,0,0.0,69.0,Rome
2024-11-08 23:00:00,9.6,99,0,0.0,73.0,Rome
2024-11-09 06:00:00,6.8,100,2,0.0,66.0,Rome
2024-11-09 07:00:00,7.1,99,2,0.0,52.0,Rome
2024-11-09 08:00:00,8.8,93,3,0.0,35.0,Rome
2024-11-09 09:00:00,11.2,83,3,0.0,18.0,Rome
2024-11-09 10:00:00,13.6,75,4,0.0,1.0,Rome
2024-11-09 11:00:00,15.6,68,4,0.0,1.0,Rome
2024-11-09 12:00:00,17.5,62,5,0.0,0.0,Rome
2024-11-09 13:00:00,18.8,58,5,0.0,0.0,Rome
2024-11-09 14:00:00,19.4,58,5,0.0,0.0,Rome
2024-11-09 15:00:00,19.4,60,6,0.0,0.0,Rome
2024-11-09 16:00:00,18.9,64,6,0.0,0.0,Rome
2024-11-09 17:00:00,17.6,71,6,0.0,0.0,Rome
2024-11-09 18:00:00,15.7,80,7,0.0,0.0,Rome
2024-11-09 19:00:00,13.9,87,7,0.0,0.0,Rome
2024-11-09 20:00:00,12.4,92,7,0.0,20.0,Rome
2024-11-09 21:00:00,11.1,96,7,0.0,41.0,Rome
2024-11-09 22:00:00,10.0,99,8,0.0,61.0,Rome
2024-11-09 23:00:00,9.2,100,8,0.0,62.0,Rome
2024-11-10 06:00:00,13.5,76,5,0.0,100.0,Rome
2024-11-10 07:00:00,13.5,75,6,0.0,100.0,Rome
2024-11-10 08:00:00,14.1,72,5,0.0,100.0,Rome
2024-11-10 09:00:00,15.1,67,4,0.0,100.0,Rome
2024-11-10 10:00:00,16.2,63,3,0.0,100.0,Rome
2024-11-10 11:00:00,17.3,59,3,0.0,100.0,Rome
2024-11-10 12:00:00,18.4,56,2,0.0,100.0,Rome
2024-11-10 13:00:00,19.1,53,3,0.0,100.0,Rome
2024-11-10 14:00:00,19.3,52,5,0.0,100.0,Rome
2024-11-10 15:00:00,19.1,52,8,0.0,100.0,Rome
